id,threshold,batch-size,sites,rounds,rebalances,accuracy,traffic
1,0.01,16,8,810,5265,98.31,412633845
2,0.1,16,8,488,3172,98.29,248599156
3,0.3,16,8,368,2392,98.3,187468216
4,0.5,16,8,120,780,97.99,61130940
5,0.7,16,8,93,605,97.81,47376479
6,0.9,16,8,61,397,97.63,31074895
7,1,16,8,42,273,96.45,21395829
8,0.5,1,8,153,995,99.12,77941949
9,0.5,4,8,131,852,98.72,66734610
10,0.5,16,8,120,780,97.99,61130940
11,0.5,32,8,70,455,98.61,35659715
12,0.5,64,8,68,442,98.59,34640866
13,0.5,128,8,66,429,98.49,33622017
14,0.5,16,4,147,956,98.66,36678564
15,0.5,16,8,120,780,97.99,61130940
16,0.5,16,16,102,663,98.7,84360697
17,0.5,16,32,78,507,98.48,110512513
18,0.5,16,64,56,364,98.18,146981642
19,0.5,16,128,45,293,97.86,199895033
